# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	0	0	0	0	0
2020-03-09	0	0	0	0	0
2020-03-10	0	0	0	0	0
2020-03-11	1	0	0	0	0
2020-03-12	1	0	0	0	0
2020-03-13	2	0	0	0	0
2020-03-14	4	0	0	0	0
2020-03-15	7	0	0	0	0
2020-03-16	9	0	0	0	0
2020-03-17	10	0	0	0	0
2020-03-18	11	0	0	0	0
2020-03-19	11	0	0	0	0
2020-03-20	11	0	0	0	0
2020-03-21	12	0	0	0	0
2020-03-22	12	0	0	0	0
2020-03-23	12	0	0	0	0
2020-03-24	12	0	0	0	0
2020-03-25	13	0	0	0	0
2020-03-26	15	0	0	0	0
2020-03-27	18	0	0	0	0
2020-03-28	19	0	0	0	0
2020-03-29	21	0	0	0	0
2020-03-30	22	0	0	0	0
2020-03-31	24	0	0	0	0
2020-04-01	30	0	0	0	0
2020-04-02	30	0	0	0	0
2020-04-03	33	0	0	0	0
2020-04-04	33	0	0	0	0
2020-04-05	35	0	0	0	0
2020-04-06	37	0	0	0	0
2020-04-07	42	0	0	0	0
2020-04-08	44	0	0	1	0
2020-04-09	47	0	0	1	0
2020-04-10	53	0	0	1	0
2020-04-11	65	0	5	4	0
2020-04-12	68	0	5	4	0
2020-04-13	71	0	3	2	0
2020-04-14	79	0	1	3	0
2020-04-15	84	0	1	3	0
2020-04-16	96	0	6	2	0
2020-04-17	108	0	5	3	0
2020-04-18	115	0	5	4	0
2020-04-19	124	0	3	5	0
2020-04-20	151	0	8	6	0
2020-04-21	163	0	8	7	0
2020-04-22	180	1	11	6	0
2020-04-23	195	2	17	9	0
2020-04-24	215	2	18	9	0
2020-04-25	234	2	17	11	0
2020-04-26	254	3	19	9	0
2020-04-27	271	4	26	10	0
2020-04-28	289	4	18	9	0
2020-04-29	313	5	22	11	0
2020-04-30	335	6	28	12	0
2020-05-01	363	6	38	12	0
2020-05-02	374	7	59	13	0
2020-05-03	387	7	35	11	0
2020-05-04	408	7	32	11	0
2020-05-05	428	11	31	11	0
2020-05-06	445	11	36	11	0
2020-05-07	489	11	37	10	0
2020-05-08	499	11	29	10	0
2020-05-09	509	12	32	9	0
2020-05-10	517	12	31	11	0
2020-05-11	530	13	25	11	0
2020-05-12	550	13	23	12	0
2020-05-13	564	14	24	12	0
2020-05-14	582	15	28	12	0
2020-05-15	607	18	20	11	0
2020-05-16	616	19	17	11	0
2020-05-17	620	20	18	13	0
2020-05-18	634	20	19	13	0
2020-05-19	659	20	16	12	0
2020-05-20	669	21	19	9	0
2020-05-21	672	23	25	10	0
2020-05-22	680	23	24	10	0
2020-05-23	686	23	26	9	0
2020-05-24	690	23	28	9	0
2020-05-25	700	23	27	10	0
2020-05-26	704	24	29	9	0
2020-05-27	708	24	32	10	0
2020-05-28	713	24	27	10	0
2020-05-29	720	24	28	9	0
2020-05-30	723	28	22	12	0
2020-05-31	725	30	22	12	0
2020-06-01	737	30	21	9	0
2020-06-02	747	30	21	9	0
2020-06-03	756	31	20	10	0
2020-06-04	761	31	5	11	0
2020-06-05	767	32	4	11	0
2020-06-06	771	33	6	9	0
2020-06-07	773	33	5	10	0
2020-06-08	782	33	7	11	0
