# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	3	0	0	0	0
2020-03-14	5	0	0	0	0
2020-03-15	7	0	0	0	0
2020-03-16	9	0	0	0	0
2020-03-17	10	0	0	0	0
2020-03-18	11	0	0	0	0
2020-03-19	11	0	0	0	0
2020-03-20	11	0	0	0	0
2020-03-21	12	0	0	0	0
2020-03-22	12	0	0	0	0
2020-03-23	12	0	0	0	0
2020-03-24	12	0	0	0	0
2020-03-25	13	0	0	0	0
2020-03-26	15	0	0	0	0
2020-03-27	18	0	0	0	0
2020-03-28	19	0	0	0	0
2020-03-29	21	0	0	0	0
2020-03-30	22	0	0	0	0
2020-03-31	24	0	0	0	0
2020-04-01	30	0	0	0	0
2020-04-02	30	0	0	0	0
2020-04-03	33	0	0	0	0
2020-04-04	33	0	0	0	0
2020-04-05	35	0	0	0	0
2020-04-06	37	0	0	0	0
2020-04-07	42	0	0	0	0
2020-04-08	44	0	0	0	0
2020-04-09	47	0	0	0	0
2020-04-10	52	0	0	0	0
2020-04-11	64	0	0	0	0
2020-04-12	67	0	0	0	0
2020-04-13	70	0	0	0	0
2020-04-14	78	0	0	0	0
2020-04-15	83	0	0	0	0
2020-04-16	95	0	0	0	0
2020-04-17	107	0	0	0	0
2020-04-18	115	0	0	0	0
2020-04-19	124	0	0	0	0
2020-04-20	150	0	8	6	0
2020-04-21	162	0	8	7	0
2020-04-22	179	1	11	6	0
2020-04-23	194	2	17	9	0
2020-04-24	214	2	18	9	0
2020-04-25	232	2	17	11	0
2020-04-26	253	3	19	9	0
2020-04-27	270	5	26	10	0
2020-04-28	288	5	18	9	0
2020-04-29	312	7	22	11	0
2020-04-30	334	8	28	12	0
2020-05-01	362	8	38	12	0
2020-05-02	373	9	59	13	0
2020-05-03	386	9	35	11	0
2020-05-04	406	9	32	11	0
2020-05-05	426	13	31	11	0
2020-05-06	443	13	36	11	0
2020-05-07	487	13	37	10	0
2020-05-08	497	13	29	10	0
2020-05-09	507	14	32	9	0
2020-05-10	515	14	31	11	0
2020-05-11	528	15	25	11	0
2020-05-12	548	15	23	12	0
2020-05-13	561	16	24	12	0
2020-05-14	579	17	28	12	0
2020-05-15	604	21	20	11	0
2020-05-16	615	22	17	11	0
2020-05-17	618	23	18	13	0
2020-05-18	633	23	19	13	0
2020-05-19	658	23	16	12	0
2020-05-20	668	24	19	9	0
2020-05-21	672	26	25	10	0
2020-05-22	680	26	24	10	0
2020-05-23	686	26	26	9	0
2020-05-24	690	26	28	9	0
2020-05-25	700	26	27	10	0
2020-05-26	704	27	29	9	0
2020-05-27	708	27	32	10	0
2020-05-28	713	27	27	10	0
2020-05-29	720	27	28	9	0
2020-05-30	723	31	22	12	0
2020-05-31	725	33	22	12	0
2020-06-01	738	33	21	9	0
2020-06-02	749	33	21	9	0
2020-06-03	758	34	20	10	0
2020-06-04	763	34	5	11	0
2020-06-05	769	35	4	11	0
2020-06-06	773	36	6	9	0
2020-06-07	775	36	5	10	0
2020-06-08	784	36	7	11	0
