# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	7	0	0	0	0
2020-03-02	9	0	0	0	0
2020-03-03	9	0	0	0	0
2020-03-04	11	0	0	0	0
2020-03-05	12	0	0	0	0
2020-03-06	13	0	0	0	0
2020-03-07	15	0	0	0	0
2020-03-08	16	0	0	0	0
2020-03-09	16	0	0	0	0
2020-03-10	20	0	0	0	0
2020-03-11	22	0	0	0	0
2020-03-12	24	0	0	0	0
2020-03-13	27	0	0	0	0
2020-03-14	29	0	0	0	0
2020-03-15	32	0	0	0	0
2020-03-16	36	0	0	0	0
2020-03-17	39	0	0	0	0
2020-03-18	42	0	0	0	0
2020-03-19	46	0	0	0	0
2020-03-20	55	0	0	0	0
2020-03-21	58	0	0	0	0
2020-03-22	61	0	0	0	0
2020-03-23	73	0	0	0	0
2020-03-24	79	0	0	0	0
2020-03-25	85	0	0	0	0
2020-03-26	93	0	0	0	0
2020-03-27	101	0	0	0	0
2020-03-28	106	0	0	0	0
2020-03-29	107	0	0	0	0
2020-03-30	118	0	0	0	0
2020-03-31	125	0	0	0	0
2020-04-01	137	0	0	0	0
2020-04-02	143	0	0	0	0
2020-04-03	153	0	0	0	0
2020-04-04	159	0	0	0	0
2020-04-05	166	0	0	0	0
2020-04-06	174	0	0	0	0
2020-04-07	192	0	0	0	0
2020-04-08	211	1	0	0	0
2020-04-09	235	3	0	0	0
2020-04-10	267	3	0	0	0
2020-04-11	289	3	0	0	0
2020-04-12	318	3	0	0	0
2020-04-13	357	4	0	0	0
2020-04-14	385	4	0	0	0
2020-04-15	431	5	0	0	0
2020-04-16	472	5	0	0	0
2020-04-17	521	5	0	0	0
2020-04-18	551	6	0	0	0
2020-04-19	577	7	0	0	0
2020-04-20	657	7	9	7	0
2020-04-21	699	7	14	6	0
2020-04-22	760	9	12	7	0
2020-04-23	823	9	24	9	0
2020-04-24	894	9	20	9	0
2020-04-25	940	10	25	10	0
2020-04-26	967	13	36	12	0
2020-04-27	1027	14	33	10	0
2020-04-28	1079	16	35	8	0
2020-04-29	1123	16	33	8	0
2020-04-30	1153	18	35	13	0
2020-05-01	1203	19	38	15	0
2020-05-02	1224	21	38	14	0
2020-05-03	1253	22	32	16	0
2020-05-04	1304	24	35	14	0
2020-05-05	1328	24	34	15	0
2020-05-06	1357	24	39	17	0
2020-05-07	1388	25	37	20	0
2020-05-08	1432	26	35	24	0
2020-05-09	1462	27	45	17	0
2020-05-10	1505	27	44	20	0
2020-05-11	1547	29	42	16	0
2020-05-12	1589	30	38	16	0
2020-05-13	1625	31	29	20	0
2020-05-14	1665	32	31	15	0
2020-05-15	1711	33	34	19	0
2020-05-16	1732	33	27	19	0
2020-05-17	1765	35	32	20	0
2020-05-18	1819	36	30	20	0
2020-05-19	1884	38	25	15	0
2020-05-20	1964	38	27	16	0
2020-05-21	2002	40	27	16	0
2020-05-22	2051	43	26	17	0
2020-05-23	2078	44	22	18	0
2020-05-24	2104	45	15	20	0
2020-05-25	2157	45	18	19	0
2020-05-26	2197	45	20	19	0
2020-05-27	2230	45	26	21	0
2020-05-28	2275	46	22	21	0
2020-05-29	2318	47	26	22	0
2020-05-30	2358	48	27	21	0
2020-05-31	2381	49	27	23	0
2020-06-01	2461	49	24	25	0
2020-06-02	2500	50	32	24	0
2020-06-03	2555	51	25	21	0
2020-06-04	2603	52	26	20	0
2020-06-05	2696	52	25	21	0
2020-06-06	2728	52	23	22	0
2020-06-07	2770	52	22	20	0
2020-06-08	2903	52	18	20	0
2020-06-09	2980	52	25	20	0
2020-06-10	3048	53	26	23	0
2020-06-11	3102	54	21	29	0
2020-06-12	3162	55	25	28	0
2020-06-13	3214	56	29	28	0
2020-06-14	3264	56	26	26	0
2020-06-15	3396	58	39	30	0
2020-06-16	3515	60	30	27	0
2020-06-17	3603	61	38	27	0
2020-06-18	3708	63	36	24	0
2020-06-19	3810	64	45	28	0
2020-06-20	3906	65	45	25	0
2020-06-21	3988	66	47	25	0
2020-06-22	4127	69	44	28	0
2020-06-23	4226	71	36	28	0
2020-06-24	4296	72	41	27	0
2020-06-25	4426	72	40	29	0
2020-06-26	4558	73	49	29	0
2020-06-27	4598	74	49	29	0
2020-06-28	4675	77	53	28	0
2020-06-29	4773	79	50	28	0
2020-06-30	4879	80	42	25	0
2020-07-01	5046	83	53	30	0
2020-07-02	5165	83	55	30	0
2020-07-03	5324	83	46	38	0
2020-07-04	5410	85	48	34	0
2020-07-05	5505	86	51	31	0
2020-07-06	5666	88	49	37	0
2020-07-07	5784	88	44	40	0
2020-07-08	5898	91	46	41	0
2020-07-09	6023	92	48	41	0
