# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	2	0	0	0	0
2020-03-07	2	0	0	0	0
2020-03-08	2	0	0	0	0
2020-03-09	2	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	4	0	0	0	0
2020-03-14	4	0	0	0	0
2020-03-15	5	0	0	0	0
2020-03-16	5	0	0	0	0
2020-03-17	7	0	0	0	0
2020-03-18	11	0	0	0	0
2020-03-19	12	0	0	0	0
2020-03-20	13	0	0	0	0
2020-03-21	14	0	0	0	0
2020-03-22	14	0	0	0	0
2020-03-23	16	0	0	0	0
2020-03-24	17	0	0	0	0
2020-03-25	18	0	0	0	0
2020-03-26	18	0	0	0	0
2020-03-27	18	0	0	0	0
2020-03-28	19	0	0	0	0
2020-03-29	19	0	0	0	0
2020-03-30	19	0	0	0	0
2020-03-31	19	0	0	0	0
2020-04-01	20	0	0	0	0
2020-04-02	22	0	0	0	0
2020-04-03	22	0	0	0	0
2020-04-04	22	0	0	0	0
2020-04-05	23	0	0	0	0
2020-04-06	27	0	0	0	0
2020-04-07	27	0	0	1	0
2020-04-08	27	0	0	1	0
2020-04-09	28	0	0	1	0
2020-04-10	28	0	0	1	0
2020-04-11	29	0	0	1	0
2020-04-12	30	0	1	1	0
2020-04-13	30	0	1	0	0
2020-04-14	30	0	1	0	0
2020-04-15	30	1	0	0	0
2020-04-16	32	2	0	0	0
2020-04-17	32	2	0	0	0
2020-04-18	32	2	0	0	0
2020-04-19	33	2	0	0	0
2020-04-20	34	2	0	0	0
2020-04-21	37	2	0	0	0
2020-04-22	39	2	0	0	0
2020-04-23	41	2	0	0	0
2020-04-24	41	2	0	0	0
2020-04-25	41	2	0	1	0
2020-04-26	41	2	0	0	0
2020-04-27	41	2	0	0	0
2020-04-28	41	3	0	0	0
2020-04-29	42	3	0	0	0
2020-04-30	43	3	0	0	0
2020-05-01	44	3	0	0	0
2020-05-02	45	4	0	1	0
2020-05-03	46	4	0	2	0
2020-05-04	50	4	0	2	0
2020-05-05	51	4	0	2	0
2020-05-06	52	4	0	2	0
2020-05-07	53	4	0	2	0
2020-05-08	54	4	0	2	0
2020-05-09	55	4	0	2	0
2020-05-10	59	4	1	3	0
2020-05-11	62	4	2	2	0
2020-05-12	62	4	2	1	0
2020-05-13	63	4	4	1	0
2020-05-14	65	4	2	1	0
2020-05-15	71	5	1	1	0
2020-05-16	72	5	0	1	0
2020-05-17	76	5	0	2	0
2020-05-18	78	5	0	2	0
2020-05-19	80	5	0	2	0
2020-05-20	86	6	0	2	0
2020-05-21	92	6	0	0	0
2020-05-22	95	6	0	0	0
2020-05-23	97	6	1	0	0
2020-05-24	99	6	1	0	0
2020-05-25	105	6	1	0	0
2020-05-26	106	6	1	1	0
2020-05-27	111	6	1	2	0
2020-05-28	113	7	1	3	0
2020-05-29	115	7	0	4	0
2020-05-30	118	7	0	4	0
2020-05-31	120	7	0	4	0
2020-06-01	132	7	0	4	0
2020-06-02	139	8	1	5	0
2020-06-03	148	8	2	6	0
2020-06-04	156	8	2	4	0
2020-06-05	161	8	2	4	0
2020-06-06	166	8	1	4	0
2020-06-07	175	8	1	4	0
2020-06-08	183	8	1	4	0
