# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	3	0	0	0	0
2020-03-14	4	0	0	0	0
2020-03-15	6	0	0	0	0
2020-03-16	7	0	0	0	0
2020-03-17	8	0	0	0	0
2020-03-18	10	0	0	0	0
2020-03-19	11	0	0	0	0
2020-03-20	12	0	0	0	0
2020-03-21	13	0	0	0	0
2020-03-22	15	0	0	0	0
2020-03-23	16	0	0	0	0
2020-03-24	16	0	0	0	0
2020-03-25	18	0	0	0	0
2020-03-26	20	0	0	0	0
2020-03-27	21	0	0	0	0
2020-03-28	23	0	0	0	0
2020-03-29	26	0	0	0	0
2020-03-30	28	0	0	0	0
2020-03-31	30	0	0	0	0
2020-04-01	33	0	0	0	0
2020-04-02	34	0	0	0	0
2020-04-03	35	0	0	0	0
2020-04-04	38	0	0	0	0
2020-04-05	41	0	0	0	0
2020-04-06	44	0	0	0	0
2020-04-07	44	0	0	1	0
2020-04-08	45	0	1	1	0
2020-04-09	47	0	1	1	0
2020-04-10	50	1	1	1	0
2020-04-11	54	1	1	2	0
2020-04-12	59	1	2	1	0
2020-04-13	60	1	1	1	0
2020-04-14	63	1	1	1	0
2020-04-15	66	1	1	1	0
2020-04-16	67	1	1	1	0
2020-04-17	68	1	1	2	0
2020-04-18	70	1	1	2	0
2020-04-19	72	1	1	2	0
2020-04-20	79	1	0	3	0
2020-04-21	82	1	0	4	0
2020-04-22	84	1	0	4	0
2020-04-23	89	1	1	3	0
2020-04-24	96	1	1	5	0
2020-04-25	97	1	3	5	0
2020-04-26	101	1	3	5	0
2020-04-27	105	1	1	5	0
2020-04-28	109	1	0	6	0
2020-04-29	113	1	0	6	0
2020-04-30	115	1	2	7	0
2020-05-01	117	2	2	4	0
2020-05-02	119	2	3	4	0
2020-05-03	124	2	4	2	0
2020-05-04	129	2	4	3	0
2020-05-05	137	2	4	3	0
2020-05-06	144	2	6	3	0
2020-05-07	149	2	6	4	0
2020-05-08	155	2	3	5	0
2020-05-09	160	2	4	6	0
2020-05-10	166	2	7	4	0
2020-05-11	178	2	6	6	0
2020-05-12	185	2	6	7	0
2020-05-13	193	3	9	6	0
2020-05-14	205	4	7	6	0
2020-05-15	213	5	13	6	0
2020-05-16	220	6	12	7	0
2020-05-17	229	8	9	7	0
2020-05-18	240	9	9	6	0
2020-05-19	247	11	6	4	0
2020-05-20	266	11	5	3	0
2020-05-21	280	11	6	4	0
2020-05-22	288	11	8	4	0
2020-05-23	298	11	4	5	0
2020-05-24	304	12	4	4	0
2020-05-25	314	14	4	4	0
2020-05-26	324	14	4	4	0
2020-05-27	335	15	5	5	0
2020-05-28	351	15	5	4	0
2020-05-29	364	15	4	9	0
2020-05-30	381	15	7	11	0
2020-05-31	405	15	7	10	0
2020-06-01	428	17	9	9	0
2020-06-02	445	18	11	12	0
2020-06-03	461	20	15	6	0
2020-06-04	483	20	19	6	0
2020-06-05	500	20	21	7	0
2020-06-06	526	21	20	6	0
2020-06-07	546	21	20	8	0
2020-06-08	579	21	19	7	0
2020-06-09	603	22	16	6	0
2020-06-10	652	23	12	9	0
2020-06-11	673	24	13	10	0
2020-06-12	718	25	11	10	0
2020-06-13	753	25	13	9	0
2020-06-14	799	25	14	9	0
2020-06-15	857	25	13	6	0
2020-06-16	909	25	16	12	0
2020-06-17	960	27	19	12	0
2020-06-18	1015	28	23	14	0
2020-06-19	1064	30	28	17	0
2020-06-20	1137	30	32	14	0
2020-06-21	1192	30	35	13	0
2020-06-22	1251	34	37	13	0
2020-06-23	1311	35	36	12	0
2020-06-24	1348	36	33	17	0
2020-06-25	1399	38	42	19	0
2020-06-26	1456	42	41	21	0
2020-06-27	1491	43	43	23	0
2020-06-28	1533	46	41	29	0
2020-06-29	1580	52	42	29	0
2020-06-30	1630	54	36	28	0
2020-07-01	1699	57	43	31	0
2020-07-02	1754	63	48	32	0
2020-07-03	1816	64	49	35	0
2020-07-04	1860	65	50	34	0
2020-07-05	1910	66	51	29	0
2020-07-06	1960	70	45	27	0
2020-07-07	1996	72	40	31	0
2020-07-08	2018	77	43	34	0
2020-07-09	2034	79	47	36	0
2020-07-10	2060	81	55	38	0
2020-07-11	2068	85	60	39	0
2020-07-12	2074	86	66	40	0
2020-07-13	2076	92	61	36	0
2020-07-14	2089	94	59	38	0
2020-07-15	2097	97	54	40	0
2020-07-16	2123	98	57	40	0
2020-07-17	2146	101	48	42	0
2020-07-18	2146	103	66	39	0
2020-07-19	2146	104	67	44	0
2020-07-20	2146	104	64	41	0
