# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	2	0	0	0	0
2020-03-06	2	0	0	0	0
2020-03-07	2	0	0	0	0
2020-03-08	2	0	0	0	0
2020-03-09	2	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	2	0	0	0	0
2020-03-14	4	0	0	0	0
2020-03-15	4	0	0	0	0
2020-03-16	7	0	0	0	0
2020-03-17	11	0	0	0	0
2020-03-18	11	0	0	0	0
2020-03-19	12	0	0	0	0
2020-03-20	12	0	0	0	0
2020-03-21	12	0	0	0	0
2020-03-22	13	0	0	0	0
2020-03-23	13	0	0	0	0
2020-03-24	14	0	0	0	0
2020-03-25	14	0	0	0	0
2020-03-26	19	0	0	0	0
2020-03-27	20	0	0	0	0
2020-03-28	20	0	0	0	0
2020-03-29	20	0	0	0	0
2020-03-30	21	0	0	0	0
2020-03-31	22	0	0	0	0
2020-04-01	22	0	0	0	0
2020-04-02	24	0	0	0	0
2020-04-03	24	0	0	0	0
2020-04-04	24	0	0	0	0
2020-04-05	24	0	0	0	0
2020-04-06	25	0	0	0	0
2020-04-07	27	0	0	0	0
2020-04-08	28	0	0	0	0
2020-04-09	28	0	0	0	0
2020-04-10	29	0	0	0	0
2020-04-11	29	0	0	0	0
2020-04-12	30	0	0	0	0
2020-04-13	31	0	0	0	0
2020-04-14	33	0	0	0	0
2020-04-15	33	0	0	0	0
2020-04-16	33	0	0	0	0
2020-04-17	34	0	0	0	0
2020-04-18	35	0	0	0	0
2020-04-19	35	0	0	0	0
2020-04-20	35	0	1	1	0
2020-04-21	36	0	1	1	0
2020-04-22	36	0	1	1	0
2020-04-23	37	0	0	1	0
2020-04-24	37	0	0	2	0
2020-04-25	39	0	0	2	0
2020-04-26	40	0	0	2	0
2020-04-27	43	0	1	2	0
2020-04-28	44	0	2	1	0
2020-04-29	44	0	1	1	0
2020-04-30	47	1	1	0	0
2020-05-01	49	1	1	0	0
2020-05-02	51	1	1	0	0
2020-05-03	53	1	0	0	0
2020-05-04	57	1	5	0	0
2020-05-05	59	1	0	0	0
2020-05-06	61	1	0	0	0
2020-05-07	63	1	0	0	0
2020-05-08	64	1	0	0	0
2020-05-09	66	1	0	0	0
2020-05-10	71	1	0	0	0
2020-05-11	74	1	0	1	0
2020-05-12	75	1	0	1	0
2020-05-13	77	1	0	1	0
2020-05-14	79	1	2	1	0
2020-05-15	82	1	2	1	0
2020-05-16	83	1	3	0	0
2020-05-17	87	1	3	0	0
2020-05-18	89	1	1	0	0
2020-05-19	89	1	2	0	0
2020-05-20	92	1	2	1	0
2020-05-21	92	1	3	1	0
2020-05-22	96	1	1	1	0
2020-05-23	97	1	1	1	0
2020-05-24	100	1	2	1	0
2020-05-25	100	1	1	1	0
2020-05-26	102	1	5	2	0
2020-05-27	102	1	5	2	0
2020-05-28	104	1	5	2	0
2020-05-29	106	1	6	2	0
2020-05-30	108	1	6	2	0
2020-05-31	110	1	4	2	0
2020-06-01	116	1	7	2	0
2020-06-02	124	1	6	2	0
2020-06-03	125	1	1	3	0
2020-06-04	134	1	2	3	0
2020-06-05	145	2	0	3	0
2020-06-06	150	2	1	2	0
2020-06-07	154	2	1	2	0
2020-06-08	158	2	2	2	0
