# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	1	0	0	0	0
2020-02-26	1	0	0	0	0
2020-02-27	1	0	0	0	0
2020-02-28	1	0	0	0	0
2020-02-29	2	0	0	0	0
2020-03-01	4	0	0	0	0
2020-03-02	6	0	0	0	0
2020-03-03	6	0	0	0	0
2020-03-04	6	0	0	0	0
2020-03-05	7	0	0	0	0
2020-03-06	7	0	0	0	0
2020-03-07	7	0	0	0	0
2020-03-08	7	0	0	0	0
2020-03-09	10	0	0	0	0
2020-03-10	12	0	0	0	0
2020-03-11	12	0	0	0	0
2020-03-12	13	0	0	0	0
2020-03-13	13	0	0	0	0
2020-03-14	14	0	0	0	0
2020-03-15	16	0	0	0	0
2020-03-16	21	0	0	0	0
2020-03-17	26	0	0	0	0
2020-03-18	29	0	0	0	0
2020-03-19	33	0	0	0	0
2020-03-20	35	0	0	0	0
2020-03-21	41	0	0	0	0
2020-03-22	41	0	0	0	0
2020-03-23	41	0	0	0	0
2020-03-24	42	0	0	0	0
2020-03-25	42	0	0	0	0
2020-03-26	42	0	0	0	0
2020-03-27	45	0	0	0	0
2020-03-28	47	0	0	0	0
2020-03-29	47	0	0	0	0
2020-03-30	47	0	0	0	0
2020-03-31	47	0	0	0	0
2020-04-01	63	0	0	0	0
2020-04-02	64	0	0	0	0
2020-04-03	64	0	0	0	0
2020-04-04	65	0	0	0	0
2020-04-05	66	0	0	0	0
2020-04-06	68	0	0	0	0
2020-04-07	69	0	0	0	0
2020-04-08	69	0	0	0	0
2020-04-09	73	0	0	0	0
2020-04-10	78	0	0	0	0
2020-04-11	82	0	0	0	0
2020-04-12	84	0	0	0	0
2020-04-13	84	0	0	0	0
2020-04-14	90	0	0	0	0
2020-04-15	91	0	0	0	0
2020-04-16	92	0	0	0	0
2020-04-17	95	0	0	0	0
2020-04-18	100	0	0	0	0
