# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	2	0	0	0	0
2020-03-09	2	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	2	0	0	0	0
2020-03-14	2	0	0	0	0
2020-03-15	2	0	0	0	0
2020-03-16	3	0	0	0	0
2020-03-17	3	0	0	0	0
2020-03-18	3	0	0	0	0
2020-03-19	3	0	0	0	0
2020-03-20	4	0	0	0	0
2020-03-21	4	0	0	0	0
2020-03-22	4	0	0	0	0
2020-03-23	4	0	0	0	0
2020-03-24	4	0	0	0	0
2020-03-25	4	0	0	0	0
2020-03-26	4	0	0	0	0
2020-03-27	4	0	0	0	0
2020-03-28	5	0	0	0	0
2020-03-29	5	0	0	0	0
2020-03-30	6	0	0	0	0
2020-03-31	7	0	0	0	0
2020-04-01	7	0	0	0	0
2020-04-02	7	0	0	0	0
2020-04-03	8	0	0	0	0
2020-04-04	8	0	0	0	0
2020-04-05	8	0	0	0	0
2020-04-06	8	0	0	0	0
2020-04-07	8	0	0	0	0
2020-04-08	8	0	0	0	0
2020-04-09	8	0	0	0	0
2020-04-10	8	0	0	0	0
2020-04-11	8	0	0	0	0
2020-04-12	8	0	0	0	0
2020-04-13	9	0	0	0	0
2020-04-14	10	0	0	0	0
2020-04-15	10	0	0	0	0
2020-04-16	10	0	0	0	0
2020-04-17	12	0	0	0	0
2020-04-18	13	0	0	0	0
2020-04-19	13	0	0	0	0
2020-04-20	15	0	0	0	0
2020-04-21	17	0	0	0	0
2020-04-22	18	0	1	0	0
2020-04-23	19	0	0	0	0
2020-04-24	21	0	1	0	0
2020-04-25	24	0	1	0	0
2020-04-26	25	0	2	0	0
2020-04-27	29	0	2	0	0
2020-04-28	29	0	2	0	0
2020-04-29	32	0	2	1	0
2020-04-30	35	1	2	0	0
2020-05-01	37	1	2	0	0
2020-05-02	42	2	6	2	0
2020-05-03	43	2	3	2	0
2020-05-04	48	2	3	3	0
2020-05-05	49	2	2	3	0
2020-05-06	50	2	2	3	0
2020-05-07	51	2	5	4	0
2020-05-08	52	4	4	6	0
2020-05-09	57	4	4	6	0
2020-05-10	58	4	5	5	0
2020-05-11	64	4	5	5	0
2020-05-12	65	4	6	5	0
2020-05-13	67	4	8	5	0
2020-05-14	71	6	8	4	0
2020-05-15	75	6	4	4	0
2020-05-16	78	7	5	4	0
2020-05-17	80	7	6	3	0
2020-05-18	83	7	3	3	0
2020-05-19	83	7	3	6	0
2020-05-20	90	8	6	3	0
2020-05-21	93	8	5	4	0
2020-05-22	99	8	5	6	0
2020-05-23	105	8	7	7	0
2020-05-24	108	9	13	8	0
2020-05-25	115	11	9	7	0
2020-05-26	116	11	11	7	0
2020-05-27	118	11	10	8	0
2020-05-28	125	12	12	10	0
2020-05-29	133	13	8	11	0
2020-05-30	138	13	9	10	0
2020-05-31	148	15	15	13	0
2020-06-01	162	17	13	7	0
2020-06-02	171	17	13	6	0
2020-06-03	179	17	11	6	0
2020-06-04	187	17	12	7	0
2020-06-05	199	19	7	8	0
2020-06-06	207	20	7	7	0
2020-06-07	215	20	10	7	0
2020-06-08	223	20	10	11	0
