# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	2	0	0	0	0
2020-03-03	2	0	0	0	0
2020-03-04	2	0	0	0	0
2020-03-05	3	0	0	0	0
2020-03-06	4	0	0	0	0
2020-03-07	5	0	0	0	0
2020-03-08	7	0	0	0	0
2020-03-09	9	0	0	0	0
2020-03-10	14	0	0	0	0
2020-03-11	19	0	0	0	0
2020-03-12	23	0	0	0	0
2020-03-13	29	0	0	0	0
2020-03-14	35	0	0	0	0
2020-03-15	62	0	0	0	0
2020-03-16	86	0	0	0	0
2020-03-17	97	0	0	0	0
2020-03-18	110	0	0	0	0
2020-03-19	125	0	0	0	0
2020-03-20	141	0	0	0	0
2020-03-21	154	0	0	0	0
2020-03-22	157	0	0	0	0
2020-03-23	167	0	0	0	0
2020-03-24	177	1	0	0	0
2020-03-25	192	1	0	0	0
2020-03-26	208	2	0	0	0
2020-03-27	219	2	0	0	0
2020-03-28	228	2	0	0	0
2020-03-29	241	2	0	0	0
2020-03-30	252	2	0	0	0
2020-03-31	264	2	0	0	0
2020-04-01	273	3	0	0	0
2020-04-02	283	4	0	0	0
2020-04-03	295	4	0	0	0
2020-04-04	301	4	0	0	0
2020-04-05	305	4	0	0	0
2020-04-06	315	5	0	0	0
2020-04-07	320	5	0	0	0
2020-04-08	330	6	0	0	0
2020-04-09	343	6	0	0	0
2020-04-10	349	6	0	0	0
2020-04-11	354	6	0	0	0
2020-04-12	360	7	0	0	0
2020-04-13	367	8	0	0	0
2020-04-14	374	8	0	0	0
2020-04-15	381	8	0	0	0
2020-04-16	388	9	0	0	0
2020-04-17	392	9	0	0	0
2020-04-18	398	9	0	0	0
2020-04-19	402	10	0	0	0
2020-04-20	409	10	10	23	0
2020-04-21	414	11	25	34	0
2020-04-22	420	11	14	30	0
2020-04-23	427	11	16	32	0
2020-04-24	432	11	12	34	0
2020-04-25	437	12	15	33	0
2020-04-26	444	14	12	35	0
2020-04-27	451	14	13	32	0
2020-04-28	456	14	16	34	0
2020-04-29	464	15	17	35	0
2020-04-30	473	15	16	30	0
2020-05-01	484	15	14	29	0
2020-05-02	489	16	13	32	0
2020-05-03	496	16	10	34	0
2020-05-04	509	16	32	34	0
2020-05-05	520	17	36	26	0
2020-05-06	533	17	34	29	0
2020-05-07	549	17	36	37	0
2020-05-08	571	17	28	34	0
2020-05-09	581	17	30	35	0
2020-05-10	600	17	31	43	0
2020-05-11	614	18	25	35	0
2020-05-12	629	19	26	35	0
2020-05-13	646	21	29	34	0
2020-05-14	670	21	38	32	0
2020-05-15	691	21	41	42	0
2020-05-16	711	21	39	45	0
2020-05-17	733	21	61	42	0
2020-05-18	759	24	40	46	0
2020-05-19	782	26	53	45	0
2020-05-20	808	26	44	43	0
2020-05-21	820	26	49	45	0
2020-05-22	851	27	49	48	0
2020-05-23	873	29	50	49	0
2020-05-24	894	31	56	47	0
2020-05-25	936	32	59	45	0
2020-05-26	953	32	63	45	0
2020-05-27	968	33	58	48	0
2020-05-28	983	34	59	47	0
2020-05-29	1011	35	61	46	0
2020-05-30	1039	37	59	51	0
2020-05-31	1060	38	59	50	0
2020-06-01	1137	41	64	43	0
2020-06-02	1183	43	68	45	0
2020-06-03	1270	44	75	49	0
2020-06-04	1354	45	85	47	0
2020-06-05	1411	45	91	51	0
2020-06-06	1477	45	76	50	0
2020-06-07	1533	47	81	54	0
2020-06-08	1596	48	78	62	0
2020-06-09	1681	50	79	63	0
2020-06-10	1777	53	98	69	0
2020-06-11	1858	54	89	63	0
2020-06-12	1937	54	104	69	0
2020-06-13	1995	58	105	75	0
2020-06-14	2066	59	99	78	0
2020-06-15	2190	60	102	86	0
2020-06-16	2293	61	108	80	0
2020-06-17	2445	64	128	79	0
2020-06-18	2551	65	135	79	0
2020-06-19	2673	70	133	85	0
2020-06-20	2811	70	134	91	0
2020-06-21	2928	72	148	97	0
2020-06-22	3075	74	146	102	0
2020-06-23	3182	75	166	102	0
2020-06-24	3305	78	171	110	0
2020-06-25	3438	79	175	120	0
2020-06-26	3562	80	192	123	0
2020-06-27	3681	83	217	124	0
2020-06-28	3799	89	195	136	0
2020-06-29	3919	91	222	141	0
2020-06-30	4059	94	200	141	0
2020-07-01	4215	96	206	150	0
2020-07-02	4351	101	206	164	0
2020-07-03	4542	117	225	175	0
2020-07-04	4698	121	266	178	0
2020-07-05	4879	130	276	182	0
2020-07-06	5100	138	288	185	0
2020-07-07	5278	141	270	185	0
2020-07-08	5462	143	317	194	0
2020-07-09	5613	151	341	203	0
2020-07-10	5845	156	309	213	0
2020-07-11	6004	161	291	217	0
2020-07-12	6168	174	295	225	0
2020-07-13	6385	182	341	232	0
2020-07-14	6568	188	340	244	0
2020-07-15	6804	195	357	248	0
2020-07-16	7030	204	381	252	0
2020-07-17	7329	214	392	260	0
2020-07-18	7599	224	380	266	0
2020-07-19	7945	236	366	269	0
2020-07-20	8235	243	331	277	0
2020-07-21	8511	257	395	281	0
2020-07-22	8744	263	378	283	0
2020-07-23	8973	270	437	289	0
2020-07-24	9229	281	417	297	0
2020-07-25	9646	290	403	313	0
2020-07-26	9821	300	433	308	0
2020-07-27	10091	312	402	307	0
2020-07-28	10272	327	435	291	0
2020-07-29	10487	341	412	307	0
2020-07-30	10745	351	407	307	0
2020-07-31	11074	361	390	309	0
2020-08-01	11423	377	393	316	0
2020-08-02	11747	390	410	320	0
2020-08-03	12068	409	414	316	0
2020-08-04	12316	418	429	310	0
2020-08-05	12578	434	411	323	0
2020-08-06	12791	441	410	325	0
2020-08-07	13050	451	407	329	0
2020-08-08	13227	461	406	336	0
2020-08-09	13415	473	392	342	0
2020-08-10	13703	487	408	339	0
2020-08-11	13953	503	409	331	0
2020-08-12	14165	513	419	341	0
2020-08-13	14380	523	410	352	0
2020-08-14	14831	533	406	349	0
2020-08-15	15249	539	373	341	0
2020-08-16	15610	548	403	342	0
2020-08-17	15898	557	405	341	0
2020-08-18	16157	571	385	338	0
2020-08-19	16429	580	393	339	0
2020-08-20	16691	592	386	329	0
2020-08-21	16999	601	373	307	0
2020-08-22	17203	618	379	309	0
2020-08-23	17411	629	383	326	0
2020-08-24	17678	648	367	330	0
2020-08-25	17948	657	355	327	0
2020-08-26	18220	672	360	338	0
2020-08-27	18437	688	351	340	0
2020-08-28	19135	696	363	327	0
2020-08-29	19293	710	358	322	0
2020-08-30	19459	719	368	323	0
2020-08-31	19733	731	379	325	0
2020-09-01	20077	737	391	359	0
2020-09-02	20339	753	370	352	0
2020-09-03	20557	765	391	343	0
2020-09-04	20835	775	361	345	0
2020-09-05	21067	792	335	336	0
2020-09-06	21245	803	338	322	0
2020-09-07	21478	818	340	324	0
2020-09-08	21811	829	323	328	0
2020-09-09	22361	841	322	331	0
2020-09-10	22697	853	324	325	0
2020-09-11	22939	864	330	314	0
2020-09-12	23160	879	304	304	0
2020-09-13	23396	888	309	299	0
2020-09-14	23723	896	312	303	0
2020-09-15	23956	901	326	295	0
2020-09-16	24179	913	309	297	0
2020-09-17	24502	925	302	298	0
2020-09-18	24802	936	283	296	0
2020-09-19	24971	947	280	302	0
2020-09-20	25186	956	281	307	0
2020-09-21	25539	964	283	307	0
2020-09-22	25781	968	265	292	0
2020-09-23	26030	971	263	278	0
2020-09-24	26289	978	252	283	0
2020-09-25	26559	993	243	281	0
2020-09-26	26770	1009	232	270	0
2020-09-27	26913	1022	235	276	0
2020-09-28	27254	1030	252	279	0
2020-09-29	27651	1035	251	268	0
2020-09-30	27899	1042	244	262	0
2020-10-01	28095	1051	256	253	0
2020-10-02	28337	1062	262	254	0
2020-10-03	28568	1071	239	248	0
2020-10-04	28762	1079	254	252	0
2020-10-05	29063	1090	255	256	0
2020-10-06	29441	1098	251	246	0
2020-10-07	29677	1107	265	247	0
2020-10-08	29869	1115	277	258	0
2020-10-09	30124	1123	274	249	0
2020-10-10	30377	1135	264	244	0
2020-10-11	30543	1148	261	241	0
2020-10-12	30766	1156	262	241	0
2020-10-13	31042	1158	255	246	0
2020-10-14	31422	1165	282	229	0
2020-10-15	31655	1169	286	242	0
2020-10-16	31997	1180	291	241	0
2020-10-17	32181	1198	271	264	0
2020-10-18	32558	1205	289	243	0
2020-10-19	32827	1209	294	242	0
2020-10-20	33100	1215	307	247	0
2020-10-21	33345	1229	295	242	0
2020-10-22	33592	1235	331	241	0
2020-10-23	33896	1244	330	244	0
2020-10-24	34043	1248	331	249	0
2020-10-25	34191	1255	306	231	0
2020-10-26	34745	1266	317	251	0
2020-10-27	34977	1280	298	251	0
2020-10-28	35215	1285	308	252	0
2020-10-29	35419	1295	321	241	0
2020-10-30	35787	1301	299	236	0
2020-10-31	35967	1307	297	222	0
2020-11-01	36186	1319	296	220	0
2020-11-02	36336	1326	262	216	0
2020-11-03	36470	1330	306	227	0
2020-11-04	36717	1336	325	224	0
2020-11-05	36874	1338	306	216	0
2020-11-06	36985	1347	307	230	0
2020-11-07	37087	1351	288	230	0
2020-11-08	37244	1356	292	227	0
2020-11-09	37400	1357	302	233	0
2020-11-10	37400	1357	332	236	0
2020-11-11	37400	1364	321	249	0
