# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	2	0	0	0	0
2020-03-02	3	0	0	0	0
2020-03-03	3	0	0	0	0
2020-03-04	3	0	0	0	0
2020-03-05	4	0	0	0	0
2020-03-06	5	0	0	0	0
2020-03-07	6	0	0	0	0
2020-03-08	8	0	0	0	0
2020-03-09	10	0	0	0	0
2020-03-10	15	0	0	0	0
2020-03-11	20	0	0	0	0
2020-03-12	25	0	0	0	0
2020-03-13	32	0	0	0	0
2020-03-14	39	0	0	0	0
2020-03-15	67	0	0	0	0
2020-03-16	92	0	0	0	0
2020-03-17	103	0	0	0	0
2020-03-18	118	0	0	0	0
2020-03-19	134	0	0	0	0
2020-03-20	154	0	0	0	0
2020-03-21	173	0	0	0	0
2020-03-22	177	0	0	0	0
2020-03-23	193	0	0	0	0
2020-03-24	204	1	0	0	0
2020-03-25	219	1	0	0	0
2020-03-26	237	2	0	0	0
2020-03-27	248	2	0	0	0
2020-03-28	259	2	0	0	0
2020-03-29	278	2	0	0	0
2020-03-30	291	2	0	0	0
2020-03-31	305	2	0	0	0
2020-04-01	321	3	0	0	0
2020-04-02	331	4	0	0	0
2020-04-03	346	4	0	0	0
2020-04-04	356	4	0	0	0
2020-04-05	360	4	0	0	0
2020-04-06	371	5	0	0	0
2020-04-07	378	6	0	0	0
2020-04-08	389	7	0	0	0
2020-04-09	403	7	0	0	0
2020-04-10	413	7	0	0	0
2020-04-11	418	7	0	0	0
2020-04-12	425	8	0	0	0
2020-04-13	438	9	0	0	0
2020-04-14	450	9	0	0	0
2020-04-15	459	9	0	0	0
2020-04-16	467	10	0	0	0
2020-04-17	475	10	0	0	0
2020-04-18	484	10	0	0	0
2020-04-19	492	11	0	0	0
2020-04-20	499	11	10	23	0
2020-04-21	504	12	26	34	0
2020-04-22	513	12	15	30	0
2020-04-23	520	12	17	32	0
2020-04-24	529	13	13	34	0
2020-04-25	535	14	16	33	0
2020-04-26	545	16	13	35	0
2020-04-27	558	16	14	32	0
2020-04-28	565	16	17	34	0
2020-04-29	574	17	18	35	0
2020-04-30	587	17	17	30	0
2020-05-01	599	17	15	29	0
2020-05-02	606	18	14	32	0
2020-05-03	621	19	11	34	0
2020-05-04	639	19	33	34	0
2020-05-05	654	20	37	26	0
2020-05-06	671	20	35	29	0
2020-05-07	695	20	37	37	0
2020-05-08	721	20	29	34	0
2020-05-09	736	20	30	35	0
2020-05-10	766	20	31	43	0
2020-05-11	787	22	25	35	0
2020-05-12	802	23	26	35	0
2020-05-13	824	25	29	34	0
2020-05-14	860	25	40	32	0
2020-05-15	894	25	43	42	0
2020-05-16	922	26	41	45	0
2020-05-17	949	26	63	42	0
2020-05-18	982	30	40	46	0
2020-05-19	1014	32	53	45	0
2020-05-20	1053	32	44	43	0
2020-05-21	1072	33	49	45	0
2020-05-22	1112	34	50	48	0
2020-05-23	1146	36	51	49	0
2020-05-24	1178	41	57	47	0
2020-05-25	1231	43	59	45	0
2020-05-26	1261	44	63	45	0
2020-05-27	1285	45	63	48	0
2020-05-28	1319	46	59	47	0
2020-05-29	1363	47	61	46	0
2020-05-30	1403	49	59	51	0
2020-05-31	1431	50	59	50	0
2020-06-01	1533	53	64	43	0
2020-06-02	1596	56	68	45	0
2020-06-03	1705	57	75	49	0
2020-06-04	1806	58	86	47	0
2020-06-05	1892	60	92	51	0
2020-06-06	1985	60	78	50	0
2020-06-07	2064	62	83	54	0
2020-06-08	2159	68	79	62	0
