# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	2	0	0	0	0
2020-03-04	2	0	0	0	0
2020-03-05	2	0	0	0	0
2020-03-06	2	0	0	0	0
2020-03-07	2	0	0	0	0
2020-03-08	2	0	0	0	0
2020-03-09	2	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	2	0	0	0	0
2020-03-14	2	0	0	0	0
2020-03-15	3	0	0	0	0
2020-03-16	3	0	0	0	0
2020-03-17	3	0	0	0	0
2020-03-18	3	0	0	0	0
2020-03-19	4	0	0	0	0
2020-03-20	5	0	0	0	0
2020-03-21	5	0	0	0	0
2020-03-22	5	0	0	0	0
2020-03-23	6	0	0	0	0
2020-03-24	6	0	0	0	0
2020-03-25	6	0	0	0	0
2020-03-26	6	0	0	0	0
2020-03-27	6	0	0	0	0
2020-03-28	7	0	0	0	0
2020-03-29	8	0	0	0	0
2020-03-30	8	0	0	0	0
2020-03-31	8	0	0	0	0
2020-04-01	8	0	0	0	0
2020-04-02	8	0	0	0	0
2020-04-03	8	0	0	0	0
2020-04-04	8	0	0	0	0
2020-04-05	8	0	0	0	0
2020-04-06	8	0	0	0	0
2020-04-07	8	0	0	0	0
2020-04-08	8	0	0	0	0
2020-04-09	8	0	0	0	0
2020-04-10	8	0	0	0	0
2020-04-11	8	0	0	0	0
2020-04-12	8	0	0	0	0
2020-04-13	8	0	0	0	0
2020-04-14	8	0	0	0	0
2020-04-15	9	0	0	0	0
2020-04-16	10	0	0	0	0
2020-04-17	11	0	0	0	0
2020-04-18	11	0	0	0	0
2020-04-19	11	0	0	0	0
2020-04-20	11	0	0	0	0
2020-04-21	11	0	0	0	0
2020-04-22	11	0	0	0	0
2020-04-23	11	0	0	0	0
2020-04-24	11	0	0	0	0
2020-04-25	11	0	0	0	0
2020-04-26	11	0	0	0	0
2020-04-27	12	0	0	0	0
2020-04-28	12	0	0	0	0
2020-04-29	12	0	0	0	0
2020-04-30	12	0	0	0	0
2020-05-01	15	0	0	0	0
2020-05-02	16	0	0	0	0
2020-05-03	17	0	0	0	0
2020-05-04	18	0	0	0	0
2020-05-05	20	0	0	0	0
2020-05-06	20	0	0	0	0
2020-05-07	20	0	0	0	0
2020-05-08	20	0	0	0	0
2020-05-09	20	0	0	0	0
2020-05-10	20	0	0	0	0
2020-05-11	21	0	0	0	0
2020-05-12	24	0	0	0	0
2020-05-13	25	0	0	0	0
2020-05-14	26	0	0	0	0
2020-05-15	27	0	0	0	0
2020-05-16	28	0	0	0	0
2020-05-17	28	0	0	0	0
2020-05-18	32	0	0	0	0
2020-05-19	36	0	0	0	0
2020-05-20	36	0	0	0	0
2020-05-21	38	0	0	0	0
2020-05-22	45	0	1	0	0
2020-05-23	47	0	1	0	0
2020-05-24	48	0	0	0	0
2020-05-25	50	0	0	0	0
2020-05-26	50	0	0	0	0
2020-05-27	54	0	0	0	0
2020-05-28	54	0	0	0	0
2020-05-29	54	0	0	0	0
2020-05-30	56	0	0	0	0
2020-05-31	57	0	0	0	0
2020-06-01	61	0	0	0	0
2020-06-02	68	0	0	0	0
2020-06-03	70	0	0	0	0
2020-06-04	72	0	0	0	0
2020-06-05	75	0	0	0	0
2020-06-06	77	0	0	0	0
2020-06-07	77	0	0	0	0
2020-06-08	81	0	0	0	0
2020-06-09	88	0	0	0	0
2020-06-10	90	0	0	0	0
2020-06-11	92	0	0	0	0
2020-06-12	95	0	0	0	0
2020-06-13	101	1	0	0	0
2020-06-14	105	1	0	0	0
2020-06-15	112	1	0	0	0
2020-06-16	122	1	0	0	0
2020-06-17	132	1	0	0	0
2020-06-18	145	1	0	0	0
2020-06-19	159	1	0	0	0
2020-06-20	176	1	0	0	0
2020-06-21	188	1	1	0	0
2020-06-22	205	1	0	0	0
2020-06-23	216	1	1	0	0
2020-06-24	224	1	1	0	0
2020-06-25	238	1	1	0	0
2020-06-26	256	1	1	0	0
2020-06-27	282	1	3	0	0
2020-06-28	305	1	2	0	0
2020-06-29	327	1	2	0	0
2020-06-30	351	1	2	0	0
2020-07-01	386	2	3	0	0
2020-07-02	421	3	3	0	0
2020-07-03	452	4	3	0	0
2020-07-04	476	4	2	2	0
2020-07-05	510	4	3	4	0
2020-07-06	556	5	6	3	0
2020-07-07	598	8	4	4	0
2020-07-08	642	8	7	5	0
2020-07-09	698	9	8	5	0
2020-07-10	773	9	8	5	0
2020-07-11	812	10	9	3	0
2020-07-12	858	10	7	3	0
2020-07-13	931	11	7	2	0
2020-07-14	975	12	7	2	0
